model,phrase,gold,hit,top5
roberta-large,Accommodative [MASK] policy,monetary,False,immigration|visa|migration|tax|foreign
dapt-fomc,Balance [MASK] payments,of,True,of|sheet|sheet|paper|line
dapt-fomc,Bank [MASK] International Settlements,for,True,for|of|for|for|on
dapt-fomc,Basel [MASK] on Banking Supervision,committee,False,ii|accord|i|iii|principles
dapt-fomc,Bretton [MASK] system,woods,True,woods|delivery|'s|cable|reserve
dapt-fomc,Capital [MASK] ratio,adequacy,False,leverage|coverage|requirement|ization|utilization
dapt-fomc,Central [MASK] (CCP),counterparties,False,committee|bank|bank|banks|casting
dapt-fomc,Central [MASK] balance sheet,bank,True,bank|bank|banks|banking|bank
dapt-fomc,Central [MASK] digital currency,bank,True,bank|bank|european|banking|bank
dapt-fomc,Collateralized [MASK] obligation,debt,True,debt|loan|note|credit|security
dapt-fomc,Committee [MASK] Payments and Market Infrastructure,on,True,"on|for|,|of|:"
dapt-fomc,Commodity [MASK] index,price,True,price|prices|volatility|pricing|cost
dapt-fomc,Contractionary [MASK] policy,monetary,True,monetary|fiscal|economic|budget|financial
dapt-fomc,Core [MASK] price index,consumer,True,consumer|cpi|producer|inflation|import
dapt-fomc,Countercyclical [MASK] buffer,capital,True,capital|liquidity|policy|risk|reserve
dapt-fomc,Credit [MASK] swap,default,True,default|risk|default|index|defaults
dapt-fomc,Cross-Currency [MASK] Swaps,basis,False,risk|credit|forward|treasury|swap
dapt-fomc,Currency [MASK] of reserves,composition,False,value|valuation|use|holdings|values
dapt-fomc,Decentralized [MASK] (DeFi),finance,True,finance|funds|finance|funds|funding
dapt-fomc,Distributed [MASK] technology,ledger,True,ledger|information|communications|control|communication
dapt-fomc,Domestic [MASK] important bank,systemically,False,"and|,|most|internationally|or"
dapt-fomc,Effective [MASK] bound,lower,True,lower|upper|zero|higher|time
dapt-fomc,Effective [MASK] funds rate,federal,True,federal|fed|real|federal|fed
dapt-fomc,Effective [MASK] rate,exchange,True,tax|discount|unemployment|exchange|funds
dapt-fomc,Efficient [MASK] hypothesis,market,True,market|policy|markets|equilibrium|competition
dapt-fomc,Emerging [MASK] and developing economies,market,True,markets|market|asian|market|economies
dapt-fomc,Emerging [MASK] economies,market,True,market|asian|market|markets|foreign
dapt-fomc,European [MASK] Bank,central,True,central|investment|development|central|central
dapt-fomc,Exchange [MASK] pass-through,rate,True,rate|ratio|value|risk|of
dapt-fomc,Exchange [MASK] regime,rate,True,rate|management|control|rates|policy
dapt-fomc,Expansionary [MASK] policy,monetary,True,monetary|fiscal|economic|financial|budget
dapt-fomc,Financial [MASK] board,stability,True,services|regulatory|stability|stability|exam
dapt-fomc,Fixed [MASK] rate,exchange,True,exchange|funds|interest|policy|deposit
dapt-fomc,Floating [MASK] rate,exchange,True,funds|exchange|interest|policy|discount
dapt-fomc,Foreign [MASK] intervention,exchange,True,policy|fiscal|direct|exchange|currency
dapt-fomc,Foreign [MASK] investment,direct,True,direct|portfolio|equity|indirect|institutional
dapt-fomc,Foreign [MASK] reserves,exchange,True,exchange|currency|financial|oil|national
dapt-fomc,Global [MASK] important banks,systemically,False,"and|most|,|ally|ically"
dapt-fomc,Gross [MASK] debt,external,False,domestic|national|federal|household|corporate
dapt-fomc,Gross [MASK] product,domestic,True,domestic|national|final|domestic|farm
dapt-fomc,Interbank [MASK] rate,offered,True,offered|offer|offering|lending|funds
dapt-fomc,Interest [MASK] on deposit facility,rate,True,rate|rates|paid|payable|payments
dapt-fomc,Interest [MASK] on excess reserves,rate,True,rates|payments|paid|rate|earned
dapt-fomc,Interest [MASK] parity,rate,True,rate|rates|on|at|risk
dapt-fomc,Interest [MASK] risk,rate,True,rate|rates|rate|rate|ing
dapt-fomc,Interest [MASK] swap,rate,True,rate|rates|rate|swap|risk
dapt-fomc,Interest [MASK] targeting,rate,True,rate|rates|rate|rate|level
dapt-fomc,International [MASK] Fund,monetary,True,monetary|development|investment|rescue|marshall
dapt-fomc,International [MASK] of Insurance Supervisors,association,True,association|federation|organization|conference|committee
dapt-fomc,International [MASK] position,investment,False,financial|reserve|monetary|capital|trade
dapt-fomc,Inverted [MASK] curve,yield,True,yield|phillips|forward|money|credit
dapt-fomc,Labor [MASK] participation rate,force,True,force|market|force|force|forces
dapt-fomc,Lender [MASK] last resort,of,True,"of|,|'s|at|as"
dapt-fomc,Liquidity [MASK] test,stress,True,stress|risk|ratio|capital|management
dapt-fomc,London [MASK] Offered Rate,interbank,False,exchange|standard|bank|legal|government
dapt-fomc,Long-term [MASK] operation,refinancing,False,business|market|budget|policy|financial
dapt-fomc,Long-term [MASK] rates,interest,True,interest|mortgage|treasury|funding|policy
dapt-fomc,Macroprudential [MASK] measures,policy,True,stability|supervision|policy|capital|reform
dapt-fomc,Main [MASK] operation,refinancing,False,tenance|banking|business|market|bank
dapt-fomc,Marginal [MASK] facility,lending,True,credit|liquidity|lending|reserve|repo
dapt-fomc,Monetary [MASK] committee,policy,True,policy|policy|affairs|policies|standing
dapt-fomc,Monetary [MASK] framework,policy,True,policy|policy|policies|easing|transmission
dapt-fomc,Monetary [MASK] stance,policy,True,policy|policy|easing|tightening|policies
dapt-fomc,Monetary [MASK] transmission,policy,True,policy|policy|monetary|force|inflation
dapt-fomc,Natural [MASK] of interest,rate,False,resources|sources|areas|conflicts|factors
dapt-fomc,Natural [MASK] of unemployment,rate,True,rate|rates|causes|ization|sources
dapt-fomc,Negative [MASK] rates,interest,True,interest|exchange|real|inflation|policy
dapt-fomc,Net [MASK] debt,external,True,external|federal|domestic|foreign|public
dapt-fomc,Neutral [MASK] policy,monetary,True,monetary|fiscal|economic|rate|monetary
dapt-fomc,Nominal [MASK] rate,exchange,False,unemployment|interest|inflation|discount|funds
dapt-fomc,Non-accelerating [MASK] rate of unemployment,inflation,False,trend|headline|real|normal|average
dapt-fomc,Non-bank [MASK] institution,financial,True,financial|banking|credit|holding|lending
dapt-fomc,Non-bank [MASK] intermediation,credit,True,financial|payment|credit|monetary|market
dapt-fomc,Open [MASK] operations,market,True,market|for|to|ended|market
dapt-fomc,Overnight [MASK] facility,deposit,True,repo|lending|funding|borrowing|deposit
dapt-fomc,Overnight [MASK] swap,index,True,index|indexed|default|overnight|rate
dapt-fomc,Pegged [MASK] rate,exchange,True,exchange|interest|funds|policy|discount
dapt-fomc,Producer [MASK] index,price,True,price|prices|cost|inflation|costs
dapt-fomc,Purchasing [MASK] parity,power,True,power|power|agreement|price|authority
dapt-fomc,Real [MASK] exchange rate,effective,True,foreign|effective|dollar|market|nominal
dapt-fomc,Real [MASK] rate,exchange,True,unemployment|interest|exchange|saving|inflation
dapt-fomc,Safe [MASK] assets,haven,True,haven|financial|foreign|market|liquid
dapt-fomc,Secured [MASK] financing rate,overnight,True,market|debt|mortgage|overnight|by
dapt-fomc,Short-term [MASK] rates,interest,True,interest|policy|funding|funds|market
dapt-fomc,Sovereign [MASK] crisis,debt,True,debt|financial|default|rating|funding
dapt-fomc,Sovereign [MASK] fund,wealth,True,wealth|debt|hedge|insurance|rescue
dapt-fomc,Special [MASK] Rights,drawing,False,voting|property|access|ty|legal
dapt-fomc,Special [MASK] vehicle,purpose,True,purpose|purpose|financing|delivery|ized
dapt-fomc,Systemically [MASK] financial institution,important,True,important|significant|important|risky|complex
dapt-fomc,Targeted [MASK] refinancing operations,longer,False,mortgage|debt|loan|cra|principal
dapt-fomc,Terms [MASK] trade,of,True,of|for|and|to|on
dapt-fomc,Tier [MASK] capital,1,True,1|2|i|one|ii
dapt-fomc,Tight [MASK] policy,monetary,True,monetary|ening|fiscal|ens|ened
dapt-fomc,Too [MASK] to fail,big,True,big|large|good|expensive|great
dapt-fomc,Unconventional [MASK] policy,monetary,True,monetary|fiscal|economic|tax|foreign
dapt-fomc,Value [MASK] Risk,at,True,of|and|at|from|for
dapt-fomc,Velocity [MASK] money,of,True,of|and|for|on|in
dapt-fomc,Yield [MASK] control,curve,True,and|curve|curve|s|on
dapt-fomc,Zero [MASK] bound,lower,True,lower|upper|zero|time|error
dapt-global,Accommodative [MASK] policy,monetary,True,monetary|fiscal|financial|economic|credit
dapt-global,Asset [MASK] program,purchase,True,purchase|purchases|sales|management|disposal
dapt-global,Balance [MASK] payments,of,True,of|sheet|and|card|account
dapt-global,Bank [MASK] International Settlements,for,True,for|of|for|for|on
dapt-global,Basel [MASK] on Banking Supervision,committee,False,ii|i|accord|principles|iii
dapt-global,Bretton [MASK] system,woods,True,delivery|'s|woods|university|transmission
dapt-global,Capital [MASK] ratio,adequacy,False,leverage|ization|requirement|gearing|adequ
dapt-global,Central [MASK] (CCP),counterparties,False,committee|calculator|casting|provision|bank
dapt-global,Central [MASK] balance sheet,bank,True,bank|banks|bank|banks|reserve
dapt-global,Central [MASK] digital currency,bank,True,bank|ized|ised|european|american
dapt-global,Collateralized [MASK] obligation,debt,True,debt|loan|note|mortgage|credit
dapt-global,Committee [MASK] Payments and Market Infrastructure,on,True,"on|,|:|of|for"
dapt-global,Commodity [MASK] index,price,True,price|prices|inflation|pricing|volatility
dapt-global,Contractionary [MASK] policy,monetary,True,monetary|fiscal|economic|financial|rate
dapt-global,Core [MASK] price index,consumer,True,consumer|goods|producer|services|cpi
dapt-global,Countercyclical [MASK] buffer,capital,True,capital|liquidity|policy|risk|reserve
dapt-global,Credit [MASK] swap,default,True,default|risk|default|default|index
dapt-global,Cross-Currency [MASK] Swaps,basis,False,equity|treasury|credit|swap|forward
dapt-global,Currency [MASK] of reserves,composition,False,value|ization|valuation|holdings|use
dapt-global,Decentralized [MASK] (DeFi),finance,True,finance|funds|funding|financial|infrastructure
dapt-global,Distributed [MASK] technology,ledger,True,information|ledger|communications|payment|communication
dapt-global,Domestic [MASK] important bank,systemically,False,"and|ally|most|,|market"
dapt-global,Effective [MASK] bound,lower,True,lower|upper|zero|higher|time
dapt-global,Effective [MASK] funds rate,federal,True,federal|fed|real|federal|nominal
dapt-global,Effective [MASK] rate,exchange,True,exchange|discount|unemployment|tax|interest
dapt-global,Efficient [MASK] hypothesis,market,True,policy|market|growth|transmission|competition
dapt-global,Emerging [MASK] and developing economies,market,True,market|markets|economies|countries|asian
dapt-global,Emerging [MASK] economies,market,True,market|markets|market|asian|market
dapt-global,European [MASK] Bank,central,True,central|investment|stability|central|union
dapt-global,Exchange [MASK] pass-through,rate,True,rate|rate|risk|and|rate
dapt-global,Exchange [MASK] regime,rate,True,rate|control|rate|rates|management
dapt-global,Expansionary [MASK] policy,monetary,True,monetary|fiscal|economic|financial|trade
dapt-global,Financial [MASK] board,stability,True,stability|services|regulatory|advisory|policy
dapt-global,Fixed [MASK] rate,exchange,True,exchange|interest|reference|lending|bank
dapt-global,Floating [MASK] rate,exchange,True,exchange|interest|funds|reference|discount
dapt-global,Foreign [MASK] intervention,exchange,True,policy|monetary|currency|fiscal|exchange
dapt-global,Foreign [MASK] investment,direct,True,direct|portfolio|equity|institutional|fixed
dapt-global,Foreign [MASK] reserves,exchange,True,exchange|currency|gold|excess|financial
dapt-global,Global [MASK] important banks,systemically,False,and|most|ally|ically|ly
dapt-global,Gross [MASK] debt,external,True,domestic|household|national|public|external
dapt-global,Gross [MASK] product,domestic,True,domestic|domestic|agricultural|farm|foreign
dapt-global,Interbank [MASK] rate,offered,True,interest|offered|offer|lending|call
dapt-global,Interest [MASK] on deposit facility,rate,True,rate|rates|payments|paid|s
dapt-global,Interest [MASK] on excess reserves,rate,True,payments|rates|paid|rate|ing
dapt-global,Interest [MASK] parity,rate,True,rate|rates|on|ing|rate
dapt-global,Interest [MASK] risk,rate,True,rate|rates|ing|rate|rate
dapt-global,Interest [MASK] swap,rate,True,rate|rates|swap|on|bearing
dapt-global,Interest [MASK] targeting,rate,True,rate|rate|rates|level|ual
dapt-global,International [MASK] Fund,monetary,True,monetary|wildlife|investment|development|population
dapt-global,International [MASK] of Insurance Supervisors,association,True,association|organization|conference|committee|federation
dapt-global,International [MASK] position,investment,False,financial|trade|economic|monetary|liquidity
dapt-global,Inverted [MASK] curve,yield,True,yield|phillips|forward|yields|credit
dapt-global,Labor [MASK] participation rate,force,True,force|market|force|force|forces
dapt-global,Lender [MASK] last resort,of,True,"of|'s|,|at|as"
dapt-global,Liquidity [MASK] test,stress,True,stress|risk|capital|market|management
dapt-global,London [MASK] Offered Rate,interbank,False,exchange|bank|national|municipal|legal
dapt-global,Long-term [MASK] operation,refinancing,False,market|repo|funding|financing|liquidity
dapt-global,Long-term [MASK] rates,interest,True,interest|inflation|policy|real|forward
dapt-global,Macroprudential [MASK] measures,policy,True,policy|stability|supervision|reform|tightening
dapt-global,Main [MASK] operation,refinancing,False,tenance|market|banking|bank|business
dapt-global,Marginal [MASK] facility,lending,True,credit|lending|liquidity|deposit|funding
dapt-global,Monetary [MASK] committee,policy,True,policy|policy|affairs|stability|affairs
dapt-global,Monetary [MASK] framework,policy,True,policy|policy|easing|reform|tightening
dapt-global,Monetary [MASK] stance,policy,True,policy|policy|easing|tightening|policies
dapt-global,Monetary [MASK] transmission,policy,True,policy|policy|easing|stimulus|inflation
dapt-global,Natural [MASK] of interest,rate,False,conflicts|rates|conflict|communities|areas
dapt-global,Natural [MASK] of unemployment,rate,True,rate|rates|ization|sources|causes
dapt-global,Negative [MASK] rates,interest,True,interest|real|exchange|inflation|growth
dapt-global,Net [MASK] debt,external,True,external|foreign|public|domestic|household
dapt-global,Neutral [MASK] policy,monetary,True,monetary|fiscal|rate|monetary|interest
dapt-global,Nominal [MASK] rate,exchange,False,interest|unemployment|funds|repo|savings
dapt-global,Non-accelerating [MASK] rate of unemployment,inflation,False,trend|annual|growth|unemployment|real
dapt-global,Non-bank [MASK] institution,financial,True,financial|lending|credit|holding|private
dapt-global,Non-bank [MASK] intermediation,credit,True,financial|credit|payment|monetary|economic
dapt-global,Open [MASK] operations,market,True,market|market|market|markets|house
dapt-global,Overnight [MASK] facility,deposit,True,deposit|lending|call|funding|borrowing
dapt-global,Overnight [MASK] swap,index,True,index|inflation|indexed|default|overnight
dapt-global,Pegged [MASK] rate,exchange,True,exchange|interest|policy|bank|repo
dapt-global,Producer [MASK] index,price,True,price|prices|cost|confidence|output
dapt-global,Purchasing [MASK] parity,power,True,power|power|price|capacity|power
dapt-global,Real [MASK] exchange rate,effective,True,effective|foreign|sterling|nominal|weighted
dapt-global,Real [MASK] rate,exchange,True,unemployment|interest|exchange|inflation|growth
dapt-global,Safe [MASK] assets,haven,True,haven|financial|foreign|haven|domestic
dapt-global,Secured [MASK] financing rate,overnight,False,debt|mortgage|corporate|bank|loan
dapt-global,Short-term [MASK] rates,interest,True,interest|market|policy|lending|exchange
dapt-global,Sovereign [MASK] crisis,debt,True,debt|financial|fiscal|adjustment|financing
dapt-global,Sovereign [MASK] fund,wealth,True,wealth|debt|guarantee|investment|insurance
dapt-global,Special [MASK] Rights,drawing,False,voting|legal|constitutional|privacy|property
dapt-global,Special [MASK] vehicle,purpose,True,purpose|purpose|financing|operations|ized
dapt-global,Systemically [MASK] financial institution,important,True,important|important|significant|complex|critical
dapt-global,Targeted [MASK] refinancing operations,longer,False,debt|mortgage|loan|portfolio|principal
dapt-global,Terms [MASK] trade,of,True,of|for|and|to|on
dapt-global,Tier [MASK] capital,1,True,1|2|one|i|3
dapt-global,Tight [MASK] policy,monetary,True,monetary|ening|fiscal|ened|financial
dapt-global,Too [MASK] to fail,big,True,big|large|good|important|strong
dapt-global,Unconventional [MASK] policy,monetary,True,monetary|fiscal|economic|tax|foreign
dapt-global,Value [MASK] Risk,at,True,and|of|at|from|for
dapt-global,Velocity [MASK] money,of,True,of|for|and|in|on
dapt-global,Yield [MASK] control,curve,True,curve|s|curve|spread|rate
dapt-global,Zero [MASK] bound,lower,True,lower|upper|tolerance|zero|higher
tapt,Accommodative [MASK] policy,monetary,True,monetary|fiscal|monetary|economic|financial
tapt,Asset [MASK] program,purchase,True,purchase|purchases|purchasing|purchase|sales
tapt,Balance [MASK] payments,of,True,of|sheet|sheet|mortgage|card
tapt,Bank [MASK] International Settlements,for,True,for|of|on|for|for
tapt,Basel [MASK] on Banking Supervision,committee,True,committee|principles|accord|iii|treaty
tapt,Bretton [MASK] system,woods,False,delivery|monetary|'s|point|payroll
tapt,Capital [MASK] ratio,adequacy,False,payout|ization|leverage|retention|stock
tapt,Central [MASK] (CCP),counterparties,False,committee|tendency|bank|potential|costs
tapt,Central [MASK] balance sheet,bank,True,bank|bank|banks|banking|banker
tapt,Central [MASK] digital currency,bank,True,bank|banks|european|banking|europe
tapt,Collateralized [MASK] obligation,debt,True,debt|loan|mortgage|general|reserve
tapt,Committee [MASK] Payments and Market Infrastructure,on,True,"on|on|:|,|of"
tapt,Commodity [MASK] index,price,True,price|prices|price|inflation|pricing
tapt,Contractionary [MASK] policy,monetary,True,monetary|fiscal|monetary|inflation|economic
tapt,Core [MASK] price index,consumer,True,consumer|cpi|pc|inflation|price
tapt,Countercyclical [MASK] buffer,capital,False,policy|monetary|reserve|inflation|fiscal
tapt,Credit [MASK] swap,default,True,default|default|default|collateral|risk
tapt,Cross-Currency [MASK] Swaps,basis,False,bond|price|interest|credit|equity
tapt,Currency [MASK] of reserves,composition,False,value|and|valuation|cost|costs
tapt,Decentralized [MASK] (DeFi),finance,True,finance|funds|funding|financial|finance
tapt,Distributed [MASK] technology,ledger,True,ledger|delivery|information|communications|storage
tapt,Domestic [MASK] important bank,systemically,False,demand|policy|economy|inflation|growth
tapt,Effective [MASK] bound,lower,True,lower|low|zero|higher|upper
tapt,Effective [MASK] funds rate,federal,True,federal|federal|real|national|universal
tapt,Effective [MASK] rate,exchange,False,tax|unemployment|utilization|discount|poverty
tapt,Efficient [MASK] hypothesis,market,True,growth|policy|market|distribution|design
tapt,Emerging [MASK] and developing economies,market,True,markets|market|market|asian|markets
tapt,Emerging [MASK] economies,market,True,market|asian|market|markets|foreign
tapt,European [MASK] Bank,central,True,central|investment|central|development|stability
tapt,Exchange [MASK] pass-through,rate,True,rate|value|rates|rate|ratio
tapt,Exchange [MASK] regime,rate,True,rate|rates|reserve|control|management
tapt,Expansionary [MASK] policy,monetary,True,monetary|fiscal|monetary|economic|financial
tapt,Financial [MASK] board,stability,True,stability|stability|services|markets|exam
tapt,Fixed [MASK] rate,exchange,True,interest|funds|exchange|unemployment|inflation
tapt,Floating [MASK] rate,exchange,True,funds|interest|exchange|inflation|unemployment
tapt,Foreign [MASK] intervention,exchange,False,policy|economic|fiscal|direct|currency
tapt,Foreign [MASK] investment,direct,True,direct|portfolio|equity|institutional|domestic
tapt,Foreign [MASK] reserves,exchange,True,exchange|currency|nominal|excess|commercial
tapt,Global [MASK] important banks,systemically,False,most|and|financial|strategically|ically
tapt,Gross [MASK] debt,external,True,domestic|national|external|federal|mortgage
tapt,Gross [MASK] product,domestic,True,domestic|domestic|national|final|farm
tapt,Interbank [MASK] rate,offered,True,offered|interest|lending|interim|repo
tapt,Interest [MASK] on deposit facility,rate,True,rate|rates|paid|payable|s
tapt,Interest [MASK] on excess reserves,rate,True,rates|s|paid|rate|payments
tapt,Interest [MASK] parity,rate,True,rate|rates|rate|ing|on
tapt,Interest [MASK] risk,rate,True,rate|rate|rates|ing|rate
tapt,Interest [MASK] swap,rate,True,rate|rates|rate|bearing|rate
tapt,Interest [MASK] targeting,rate,True,rate|inflation|rate|ing|rates
tapt,International [MASK] Fund,monetary,True,monetary|development|marshall|reserve|space
tapt,International [MASK] of Insurance Supervisors,association,True,association|conference|committee|network|federation
tapt,International [MASK] position,investment,False,financial|economic|monetary|trade|growth
tapt,Inverted [MASK] curve,yield,True,yield|phillips|supply|demand|money
tapt,Labor [MASK] participation rate,force,True,force|market|force|force|participation
tapt,Lender [MASK] last resort,of,True,"of|'s|,|as|the"
tapt,Liquidity [MASK] test,stress,True,stress|field|stability|market|swamp
tapt,London [MASK] Offered Rate,interbank,False,legal|standard|national|government|bank
tapt,Long-term [MASK] operation,refinancing,False,economic|budget|inflation|growth|financial
